,abstract_text,abstract_url,heading,image_url
Booba,"Elie Yaffa, better known under his stage name Booba, is a French rapper. After a brief stint as a break dancer in the early 1990s, Booba partnered with his friend Ali to form Lunatic. The duo released a critically acclaimed album in 2000 but disbanded in 2003. Booba has since embarked on a successful solo career, selling more than 10 million discs over his career and becoming the most legally downloaded artist in French history. Booba is praised for the quality of his flow and beats but often criticized because of controversial nature of his lyrics. He has also established the rap label Tallac Records, and developed a line of jewellery.",https://en.wikipedia.org/wiki/Booba,Booba,0167cf4f.jpg
Andre Romelle Young,"Andre Romelle Young, better known by his stage name Dr. Dre, is an American rapper, record producer and entrepreneur. He is the founder and current CEO of Aftermath Entertainment and Beats Electronics. Dre was previously the co-owner of, and an artist on, Death Row Records. He has produced albums for and overseen the careers of many rappers, including 2Pac, The D.O.C., Snoop Dogg, Eminem, Xzibit, Knoc-turn'al, 50 Cent, The Game, and Kendrick Lamar. He is credited as a key figure in the popularization of West Coast G-funk, a style of rap music characterized as synthesizer-based with slow, heavy beats. As of 2017, he is the third richest figure in hip hop according to Forbes with a net worth of $740 million.",https://en.wikipedia.org/wiki/Dr._Dre,Dr. Dre,3862a395.jpg
Bruno Beausir,"Doc Gynéco, whose real name is Bruno Beausir, born in Clichy-sous-Bois, Seine-Saint-Denis, is a French singer-songwriter, rapper and producer. He is also a TV columnist. Doc Gynéco was a member of the A.M.E.R. with which he participated in 1994 in the song Autopsie, from their album 95200.",https://fr.wikipedia.org/wiki/Doc_Gyn%C3%A9co,Doc Gynéco,58d12d02.jpg
Bruno Lopes,"Kool Shen, whose real name is Bruno Lopes, born in Saint-Denis, Seine-Saint-Denis, is a rapper, producer, breaker, graffiti artist, actor, and French poker player. He is a co-founder of the Supreme NTM rap group with JoeyStarr, and is one of the major figures of French rap. In 2004, he published his first solo album entitled Dernier Derniere. In addition to his musical career, Kool Shen is also dedicated to high-level poker.",https://fr.wikipedia.org/wiki/Kool_Shen,Kool Shen,
Didier Morville,"Didier Morville, better known by his stage name JoeyStarr with additional alias as Jaguar Gorgone or Double R, is a French rapper, from Saint-Denis. He co-founded the famous French rap group Suprême NTM in 1989 along with Kool Shen. He was born on 27 October 1967.",https://en.wikipedia.org/wiki/Joeystarr,Joeystarr,9c228ee7.jpg
Dwayne Johnson,"Dwayne Douglas Johnson, also known by his ring name The Rock, is an American actor, producer, and semi-retired professional wrestler.",https://en.wikipedia.org/wiki/Dwayne_Johnson,Dwayne Johnson,639d3832.jpg
Elie Yaffa,"Elie Yaffa (born December 9, 1976), better known under his stage name Booba, is a French rapper. After a brief stint as a break dancer in the early 1990s, ...",https://en.wikipedia.org/wiki/Booba,Booba ,
Gary Grice,"Gary Grice (born August 22, 1966), better known by his stage names GZA and The Genius, is an American rapper and songwriter. A founding member of the hip ...",https://en.wikipedia.org/wiki/GZA,GZA ,
Marshal Mathers,"Marshall Bruce Mathers III (born October 17, 1972), known professionally as Eminem (often stylized as EMINƎM), is an American rapper, songwriter, record ...",https://en.wikipedia.org/wiki/Eminem,Eminem ,
Mathias Crochon,"Rockin 'Squat or Mathias Kassel, whose real name is Mathias Crochon, born on or 1972, is a French rapper, producer and director. He is the founder of the Assassin group, and co-founder of the Franco-Brazilian film festival Planeta Ginga.",https://fr.wikipedia.org/wiki/Rockin'_Squat,Rockin' Squat,
Patrick Benguigui,"Patrick Bruel is a French singer-songwriter, actor, producer and professional poker player born in Tlemcen, Algeria.",https://fr.wikipedia.org/wiki/Patrick_Bruel,Patrick Bruel,edb297e4.jpg
Shawn Corey Carter,"Shawn Corey Carter (born December 4, 1969) known professionally as Jay-Z (stylized as JAY-Z), is an American rapper and businessman. He is one of the ...",https://en.wikipedia.org/wiki/Jay-Z,Jay-Z ,
Doc Gyneco,"Doc Gynéco is the stage name of Bruno Beausir, a French hip hop musician. His music is typically characterized as a ragga/rap style, that has found its fan base in France.",https://en.wikipedia.org/wiki/Doc_Gyn%C3%A9co,Doc Gynéco,d8964f42.jpg
Dr. Dre,"Andre Romelle Young, better known by his stage name Dr. Dre, is an American rapper, record producer and entrepreneur. He is the founder and current CEO of Aftermath Entertainment and Beats Electronics. Dre was previously the co-owner of, and an artist on, Death Row Records. He has produced albums for and overseen the careers of many rappers, including 2Pac, The D.O.C., Snoop Dogg, Eminem, Xzibit, Knoc-turn'al, 50 Cent, The Game, and Kendrick Lamar. He is credited as a key figure in the popularization of West Coast G-funk, a style of rap music characterized as synthesizer-based with slow, heavy beats. As of 2017, he is the third richest figure in hip hop according to Forbes with a net worth of $740 million.",https://en.wikipedia.org/wiki/Dr._Dre,Dr. Dre,3862a395.jpg
Eminem,"Marshall Bruce Mathers III, known professionally as Eminem, is an American rapper, songwriter, record producer, record executive, and actor.",https://en.wikipedia.org/wiki/Eminem,Eminem,eca98bbd.jpg
GZA,"GZA, also known as The Genius, his real name Gary Grice, born in Brooklyn, New York, is an American rapper and songwriter. GZA is a founder and member of the Wu-Tang Clan hip-hop group. He participates in the solo projects of Clan members, and publishes his own solo albums, including Liquid Swords in 1995, which remains his best album.",https://fr.wikipedia.org/wiki/GZA,GZA,ad443a43.jpg
