pseudo,Andre Romelle Young,Bruno Beausir,Bruno Lopes,Didier Morville,Dwayne Johnson,Elie Yaffa,Gary Grice,Marshal Mathers,Mathias Crochon,Patrick Benguigui,Shawn Corey Carter
Booba,0.7138794888728744,0.6280857959038046,0.6256691621021114,0.7600875824064026,0.6829398867744687,0.9634284925575057,0.7995167033418779,0.7047761515899001,0.6176849489326567,0.7596258847080231,0.692146118280326
Doc Gyneco,0.6102630456267679,0.7928362213036122,0.6327332627611494,0.6039011531385942,0.6187227500558435,0.6415756346969571,0.6147529913197555,0.5764549043840153,0.5233042328456171,0.6485186169612989,0.5984859715106846
Dr. Dre,1.0,0.664646339608169,0.6784680501323243,0.6137685493905863,0.7145843383387546,0.7179622883536965,0.6825819375862414,0.6109530355735119,0.6698335826415519,0.7309456969287491,0.7549995098179861
Eminem,0.6154344602991841,0.5953002791682521,0.6202938497483009,0.7440718367429812,0.6580239555388108,0.7384044828722635,0.6964626647713156,0.9738247065794302,0.6225422865364341,0.6881111779229263,0.6603703245118436
GZA,0.6506832156456145,0.6813964678693346,0.6326502399112637,0.731103950396348,0.7006448355628042,0.7706739100096192,0.8780329730091978,0.7081797930941028,0.5864179978677863,0.7200702699129615,0.7261187095790084
Jay-Z,0.7667060046751649,0.6259784444691877,0.6479863710288353,0.6678254478610364,0.6870147187957247,0.7147271661651478,0.7249301515892496,0.6585283403029203,0.5812592247785228,0.7282048633119896,0.9494638677024572
Joey Starr,0.6137685493905863,0.6293085119895577,0.6125992003484,1.0,0.6533362134075845,0.7658596252593682,0.7290161074861371,0.7577637536412752,0.6058834888296001,0.659954966999543,0.664168571707332
Kool Shen,0.7228328372002784,0.6464944699422732,0.8241596036957538,0.6204918835129087,0.7007913009967459,0.6589900404493237,0.6318084421075043,0.6104593538542035,0.6587598233810299,0.7048182618867406,0.6496047722582338
Patrick Bruel,0.6622378211064572,0.680776397223006,0.731064258529111,0.5911829987859794,0.7466161215920458,0.6731969733914337,0.6108571363147054,0.6380098724519375,0.6177935149159457,0.8572458097305543,0.6345257908549665
Rockin' Squat,0.6731042075547019,0.5794625748481973,0.5832276881756112,0.6155432824559158,0.6135081589926701,0.6482774858081506,0.6182375746071076,0.6507006272247836,0.8733545169894975,0.6413552962339498,0.598467284241572
The Rock,0.7144677605113068,0.7153392677694149,0.6902466006678326,0.6529054966975428,0.9881247625083632,0.7125834559317322,0.6920341426185638,0.6599493139154071,0.6143323984484974,0.7899286611741542,0.7188682351194661
