pseudo,Andre Romelle Young,Bruno Beausir,Bruno Lopes,Didier Morville,Dwayne Johnson,Elie Yaffa,Gary Grice,Marshal Mathers,Mathias Crochon,Patrick Benguigui,Shawn Corey Carter
Booba,0.8989919738635946,0.8310515175353353,0.872533033699709,0.8100908970229878,0.792252952995945,1.0,0.8461761764722204,0.743954402036498,0.7899802014923193,0.8105275042993749,0.7609678879682665
Doc Gyneco,0.8951238867011782,1.0,0.8926981292339891,0.8122768943606992,0.8325906936001247,0.872545591280251,0.8409105035294233,0.7672247756819031,0.8310494830066901,0.8447425883455403,0.7945810946401347
Dr. Dre,1.0,0.9464512603257769,0.9694789293467255,0.9144577721244608,0.8965438795694776,0.9112403723060613,0.9309137009545888,0.8753558462815924,0.922890934192596,0.9045089602845573,0.8874693272281998
Eminem,0.8888001204586092,0.8380194041699448,0.9032977027673935,0.7862577595951824,0.89566970425451,0.8448393958835877,0.8449261694548371,1.0,0.8846176710026233,0.8851669605211792,0.7986649038948794
GZA,0.9417000990023754,0.9353697528786276,0.942272479841525,0.8965944144943492,0.8984977233546837,0.8838236139881888,1.0,0.8622610804390032,0.9382285129632955,0.9029844008328678,0.8501909822333045
Jay-Z,0.9225888117997366,0.8782857923745668,0.8828904040650762,0.9009016722923326,0.7871918764999287,0.8287110316227321,0.8739408973424324,0.7931389512681094,0.8231034945031458,0.7830529571573515,1.0
Joey Starr,0.9144577721244608,0.9288759148770268,0.9148989875637915,1.0,0.8522505193840917,0.8274070255818848,0.8789637849086701,0.8273335102900644,0.897432325072123,0.8484294316110482,0.8899310438312196
Kool Shen,0.9400352501444246,0.8936757728451039,1.0,0.8715563750023229,0.8209353098893908,0.884837900869832,0.8854849531930198,0.7898876519947426,0.8731333163344456,0.8442946406769015,0.8264105572715035
Patrick Bruel,0.870425439047115,0.8241860400371231,0.8884642017336796,0.782091404481424,0.8417861378148023,0.8452755651496382,0.840750661261209,0.8182223294059978,0.8674045542314884,1.0,0.779679215307594
Rockin' Squat,0.93874801772715,0.8787251333750207,0.9234945969590427,0.8685740648149461,0.8481789581775456,0.8589248242107208,0.9036251515779905,0.8299020974578061,1.0,0.8607096767717144,0.7933019637416167
The Rock,0.8961941460871345,0.8875415136249408,0.9054718062215854,0.8509583692539663,1.0,0.8811836604677354,0.8861921925329341,0.9014457793842989,0.8863130229834558,0.8691295913309257,0.8827524254711526
